Date,GoldPrice_Gm,AfterImportDuty,ConsumerPrice_gst,Gold916_gst,GoldPrice_Oz
8/29/2023,5125.71,5766.42,5939.41,5440.50,159427.5
8/28/2023,5085.52,5721.21,5892.85,5397.85,158177.2
8/25/2023,5085.52,5721.21,5892.85,5397.85,158177.2
8/24/2023,5090.65,5726.98,5898.79,5403.29,158336.8
8/23/2023,5087.21,5723.11,5894.80,5399.64,158230
8/22/2023,5053.99,5685.74,5856.31,5364.38,157196.7
8/21/2023,5045.52,5676.21,5846.50,5355.39,156933.1
8/18/2023,5060.67,5693.25,5864.05,5371.47,157404.3
8/17/2023,5068.37,5701.92,5872.98,5379.65,157643.8
8/16/2023,5092.31,5728.85,5900.72,5405.06,158388.7
8/15/2023,5091.38,5727.80,5899.63,5404.06,158359.6
8/14/2023,5089.36,5725.53,5897.30,5401.93,158296.8
8/11/2023,5106.72,5745.06,5917.41,5420.35,158836.7
8/10/2023,5107.72,5746.19,5918.58,5421.42,158868
8/9/2023,5122.04,5762.30,5935.17,5436.62,159313.1
8/8/2023,5133.75,5775.47,5948.73,5449.04,159677.4
8/7/2023,5140.98,5783.60,5957.11,5456.71,159902.5
8/4/2023,5161.78,5807.00,5981.21,5478.79,160549.3
8/3/2023,5149.75,5793.47,5967.27,5466.02,160175
8/2/2023,5168.74,5814.83,5989.27,5486.17,160765.9
8/1/2023,5154.53,5798.85,5972.82,5471.10,160323.7
7/31/2023,5211.48,5862.92,6038.81,5531.55,162095
7/28/2023,5165.52,5811.21,5985.55,5482.76,160665.7
7/27/2023,5139.97,5782.47,5955.94,5455.64,159870.8
7/26/2023,5185.11,5833.25,6008.25,5503.56,161274.9
7/25/2023,5156.69,5801.28,5975.32,5473.39,160391.1
7/24/2023,5154.60,5798.93,5972.90,5471.18,160326
7/21/2023,5169.48,5815.67,5990.14,5486.97,160788.8
7/20/2023,5213.55,5865.24,6041.20,5533.74,162159.4
7/19/2023,5212.98,5864.60,6040.54,5533.13,162141.7
7/18/2023,5210.58,5861.90,6037.76,5530.59,162067.1
7/17/2023,5142.20,5784.98,5958.53,5458.01,159940.3
7/14/2023,5156.71,5801.30,5975.34,5473.41,160391.5
7/13/2023,5163.48,5808.92,5983.19,5480.60,160602.2
7/12/2023,5150.36,5794.16,5967.98,5466.67,160194
7/11/2023,5123.20,5763.60,5936.51,5437.84,159349.2
7/10/2023,5102.79,5740.64,5912.86,5416.18,158714.6
7/7/2023,5105.74,5743.96,5916.28,5419.31,158806.4
7/6/2023,5078.95,5713.82,5885.23,5390.87,157973.1
7/5/2023,5095.69,5732.65,5904.63,5408.64,158493.8
7/4/2023,5082.44,5717.75,5889.28,5394.58,158081.5
7/3/2023,5080.60,5715.68,5887.15,5392.63,158024.2
6/30/2023,5044.30,5674.84,5845.09,5354.10,156895.3
6/29/2023,5010.54,5636.86,5805.97,5318.27,155845.3
6/28/2023,5033.57,5662.77,5832.65,5342.71,156561.5
6/27/2023,5054.60,5686.43,5857.02,5365.03,157215.5
6/26/2023,5069.40,5703.08,5874.17,5380.74,157675.9
6/23/2023,5089.21,5725.36,5897.12,5401.76,158292.1
6/22/2023,5057.99,5690.24,5860.95,5368.63,157321.2
6/21/2023,5074.94,5709.31,5880.59,5386.62,157848.4
6/20/2023,5089.24,5725.40,5897.16,5401.80,158293
6/19/2023,5139.07,5781.45,5954.89,5454.68,159843.1
6/16/2023,5162.59,5807.91,5982.15,5479.65,160574.6
6/15/2023,5158.48,5803.29,5977.39,5475.29,160446.6
6/14/2023,5162.72,5808.06,5982.30,5479.79,160578.5
6/13/2023,5176.23,5823.26,5997.96,5494.13,160998.6
6/12/2023,5175.70,5822.66,5997.34,5493.56,160982.4
6/9/2023,5197.13,5846.77,6022.17,5516.31,161648.8
6/8/2023,5220.41,5872.96,6049.15,5541.02,162373
6/7/2023,5221.51,5874.20,6050.43,5542.19,162407.2
6/6/2023,5204.74,5855.33,6030.99,5524.39,161885.5
6/5/2023,5209.19,5860.34,6036.15,5529.11,162023.9
6/2/2023,5195.56,5845.01,6020.36,5514.65,161600
6/1/2023,5231.28,5885.19,6061.75,5552.56,162711.1
5/31/2023,5225.09,5878.23,6054.58,5546.00,162518.5
5/30/2023,5192.25,5841.28,6016.52,5511.13,161496.9
5/29/2023,5174.94,5821.81,5996.46,5492.76,160958.7
5/26/2023,5171.14,5817.53,5992.06,5488.73,160840.5
5/25/2023,5182.57,5830.39,6005.30,5500.85,161195.8
5/24/2023,5235.30,5889.71,6066.40,5556.82,162835.9
5/23/2023,5242.33,5897.62,6074.55,5564.29,163054.7
5/22/2023,5246.84,5902.70,6079.78,5569.08,163195
5/19/2023,5213.50,5865.19,6041.15,5533.69,162158.1
5/18/2023,5205.64,5856.35,6032.04,5525.35,161913.4
5/17/2023,5229.99,5883.74,6060.25,5551.19,162670.8
5/16/2023,5306.20,5969.48,6148.56,5632.08,165041.3
5/15/2023,5345.07,6013.20,6193.60,5673.34,166250.4
5/12/2023,5336.06,6003.07,6183.16,5663.77,165970.1
5/11/2023,5320.69,5985.78,6165.35,5647.46,165491.9
5/10/2023,5370.25,6041.53,6222.78,5700.07,167033.6
5/9/2023,5355.28,6024.69,6205.43,5684.17,166567.8
5/8/2023,5262.28,5920.07,6097.67,5585.47,163675.2
5/5/2023,5262.52,5920.34,6097.95,5585.72,163682.7
5/4/2023,5377.59,6049.79,6231.28,5707.85,167261.6
5/3/2023,5299.49,5961.93,6140.79,5624.96,164832.7
5/2/2023,5253.86,5910.59,6087.91,5576.53,163413.3
5/1/2023,5216.28,5868.32,6044.37,5536.64,162244.4
4/28/2023,5216.28,5868.32,6044.37,5536.64,162244.4
4/27/2023,5224.76,5877.86,6054.20,5545.65,162508.1
4/26/2023,5265.90,5924.14,6101.86,5589.30,163787.8
4/25/2023,5234.79,5889.14,6065.81,5556.28,162820.2
4/24/2023,5209.85,5861.08,6036.91,5529.81,162044.3
4/21/2023,5210.12,5861.39,6037.23,5530.10,162052.70
4/20/2023,5301.33,5964.00,6142.92,5626.91,164889.90
4/19/2023,5262.45,5920.26,6097.87,5585.65,163680.40
4/18/2023,5273.79,5933.01,6111.00,5597.68,164033.30
4/17/2023,5259.15,5916.54,6094.04,5582.14,163577.70
4/14/2023,5314.70,5979.04,6158.41,5641.10,165305.60
4/13/2023,5391.15,6065.04,6246.99,5722.24,167683.60
4/12/2023,5300.07,5962.58,6141.46,5625.58,164850.60
4/11/2023,5288.05,5949.06,6127.53,5612.82,164476.70
4/10/2023,5276.69,5936.28,6114.37,5600.76,164123.30
4/7/2023,5271.13,5930.02,6107.92,5594.85,163950.60
4/6/2023,5271.13,5930.02,6107.92,5594.85,163950.60
4/5/2023,5354.54,6023.86,6204.58,5683.40,166544.90
4/4/2023,5319.51,5984.45,6163.98,5646.21,165455.40
4/3/2023,5249.90,5906.14,6083.32,5572.32,163290.00
3/31/2023,5230.82,5884.67,6061.21,5552.07,162696.70
3/30/2023,5204.21,5854.74,6030.38,5523.83,161868.90
3/29/2023,5202.09,5852.35,6027.92,5521.57,161803.00
3/28/2023,5187.01,5835.39,6010.45,5505.57,161334.00
3/27/2023,5154.25,5798.53,5972.49,5470.80,160315.10
3/24/2023,5286.90,5947.76,6126.19,5611.59,164441.10
3/23/2023,5231.44,5885.37,6061.93,5552.73,162716.10
3/22/2023,5180.94,5828.56,6003.42,5499.13,161145.40
3/21/2023,5189.32,5837.99,6013.13,5508.03,161405.90
3/20/2023,5232.20,5886.23,6062.82,5553.54,162739.70
3/17/2023,5207.03,5857.91,6033.65,5526.82,161956.60
3/16/2023,5114.88,5754.24,5926.87,5429.01,159090.70
3/15/2023,5107.80,5746.28,5918.67,5421.50,158870.40
3/14/2023,5058.89,5691.25,5861.99,5369.58,157349.00
3/13/2023,5046.71,5677.55,5847.88,5356.66,156970.30
3/10/2023,4909.77,5523.49,5689.19,5211.30,152710.90
3/9/2023,4827.13,5430.52,5593.44,5123.59,150140.50
3/8/2023,4791.31,5390.22,5551.93,5085.57,149026.30
3/7/2023,4811.56,5413.01,5575.40,5107.07,149656.10
3/6/2023,4870.83,5479.68,5644.07,5169.97,151499.60
3/3/2023,4853.05,5459.68,5623.47,5151.10,150946.70
3/2/2023,4875.79,5485.26,5649.82,5175.24,151654.10
3/1/2023,4884.17,5494.69,5659.53,5184.13,151914.60
2/28/2023,4849.46,5455.64,5619.31,5147.29,150835.10
2/27/2023,4844.17,5449.69,5613.18,5141.67,150670.60
2/24/2023,4817.84,5420.07,5582.67,5113.73,149851.60
2/23/2023,4857.72,5464.94,5628.89,5156.06,151092.00
2/22/2023,4890.02,5501.27,5666.31,5190.34,152096.50
2/21/2023,4889.77,5500.99,5666.02,5190.07,152089.00
2/20/2023,4909.48,5523.17,5688.87,5211.00,152701.90
2/17/2023,4884.04,5494.55,5659.39,5184.00,151910.70
2/16/2023,4864.18,5472.20,5636.37,5162.91,151293.00
2/15/2023,4875.10,5484.49,5649.02,5174.50,151632.50
2/14/2023,4958.85,5578.71,5746.07,5263.40,154237.50
2/13/2023,4936.56,5553.63,5720.24,5239.74,153544.10
2/10/2023,4932.89,5549.50,5715.99,5235.85,153429.90
2/9/2023,4985.25,5608.41,5776.66,5291.42,155058.60
2/8/2023,4961.54,5581.73,5749.18,5266.25,154321.10
2/7/2023,4974.17,5595.94,5763.82,5279.66,154713.90
2/6/2023,4982.91,5605.77,5773.94,5288.93,154985.70
2/3/2023,4934.68,5551.52,5718.07,5237.75,153485.70
2/2/2023,5077.25,5711.91,5883.27,5389.08,157920.00
2/1/2023,5073.81,5708.04,5879.28,5385.42,157813.10
1/31/2023,5067.69,5701.15,5872.18,5378.92,157622.70
1/30/2023,5042.16,5672.43,5842.60,5351.82,156828.60
1/27/2023,5040.41,5670.46,5840.57,5349.96,156774.30
1/26/2023,5069.09,5702.73,5873.81,5380.41,157666.20
1/25/2023,5064.76,5697.86,5868.80,5375.82,157531.60
1/24/2023,5046.19,5676.96,5847.27,5356.10,156954.10
1/23/2023,5010.99,5637.36,5806.48,5318.74,155859.20
1/20/2023,5020.97,5648.59,5818.05,5329.33,156169.50
1/19/2023,5018.72,5646.06,5815.44,5326.94,156099.70
1/18/2023,5017.96,5645.21,5814.57,5326.15,156076.10
1/17/2023,5031.62,5660.57,5830.39,5340.64,156501.00
1/16/2023,5030.33,5659.12,5828.89,5339.26,156460.80
1/13/2023,4987.62,5611.07,5779.40,5293.93,155132.30
1/12/2023,4936.15,5553.17,5719.77,5239.31,153531.40
1/11/2023,4910.76,5524.61,5690.35,5212.36,152741.60
1/10/2023,4939.74,5557.21,5723.93,5243.12,153643.00
1/9/2023,4975.23,5597.13,5765.04,5280.78,154746.80
1/6/2023,4926.28,5542.07,5708.33,5228.83,153224.40
1/5/2023,4867.89,5476.38,5640.67,5166.85,151408.20
1/4/2023,4944.88,5562.99,5729.88,5248.57,153803.00
1/3/2023,4912.07,5526.08,5691.86,5213.74,152782.40
1/2/2023,4824.27,5427.30,5590.12,5120.55,150051.50
12/30/2022,4824.27,5427.30,5590.12,5120.55,150051.50
12/29/2022,4828.64,5432.22,5595.19,5125.19,150187.60
12/28/2022,4804.58,5405.15,5567.30,5099.65,149439.10
12/27/2022,4797.23,5396.88,5558.79,5091.85,149210.50
12/26/2022,4797.37,5397.04,5558.95,5092.00,149215.00
12/23/2022,4797.37,5397.04,5558.95,5092.00,149215.00
12/22/2022,4791.44,5390.37,5552.08,5085.71,149030.40
12/21/2022,4839.49,5444.43,5607.76,5136.71,150525.00
12/20/2022,4826.20,5429.48,5592.36,5122.60,150111.60
12/19/2022,4761.86,5357.09,5517.80,5054.30,148110.40
12/16/2022,4775.80,5372.78,5533.96,5069.11,148544.10
12/15/2022,4745.73,5338.95,5499.12,5037.19,147608.80
12/14/2022,4792.90,5392.01,5553.77,5087.25,149076.00
12/13/2022,4854.51,5461.32,5625.16,5152.65,150992.20
12/12/2022,4741.07,5333.70,5493.71,5032.24,147463.70
12/9/2022,4751.32,5345.24,5505.60,5043.13,147782.70
12/8/2022,4744.09,5337.10,5497.21,5035.44,147557.60
12/7/2022,4726.46,5317.27,5476.79,5016.74,147009.20
12/6/2022,4711.45,5300.38,5459.39,5000.80,146542.50
12/5/2022,4672.72,5256.81,5414.51,4959.69,145337.80
12/2/2022,4666.15,5249.42,5406.90,4952.72,145133.60
12/1/2022,4708.79,5297.39,5456.31,4997.98,146459.80
11/30/2022,4591.08,5164.97,5319.92,4873.05,142798.50
11/29/2022,4605.11,5180.75,5336.17,4887.93,143235.00
11/28/2022,4585.87,5159.10,5313.87,4867.50,142636.40
11/25/2022,4601.47,5176.65,5331.95,4884.07,143121.80
11/24/2022,4607.13,5183.02,5338.51,4890.08,143297.70
11/23/2022,4579.55,5151.99,5306.55,4860.80,142440.00
11/22/2022,4576.69,5148.78,5303.24,4857.77,142351.10
11/21/2022,4579.79,5152.26,5306.83,4861.06,142447.40
11/18/2022,4600.53,5175.60,5330.87,4883.08,143092.60
11/17/2022,4616.80,5193.90,5349.72,4900.34,143598.50
11/16/2022,4634.65,5213.98,5370.40,4919.29,144153.80
11/15/2022,4619.09,5196.48,5352.37,4902.77,143669.80
11/14/2022,4621.23,5198.88,5354.85,4905.04,143736.40
11/11/2022,4570.97,5142.34,5296.61,4851.69,142173.10
11/10/2022,4588.71,5162.30,5317.17,4870.53,142724.90
11/9/2022,4491.45,5052.88,5204.47,4767.29,139699.70
11/8/2022,4421.89,4974.63,5123.87,4693.46,137536.00
11/7/2022,4422.68,4975.52,5124.79,4694.31,137560.60
11/4/2022,4438.14,4992.91,5142.70,4710.71,138041.70
11/3/2022,4340.91,4883.52,5030.03,4607.51,135017.30
11/2/2022,4390.44,4939.25,5087.43,4660.09,136558.00
11/1/2022,4374.63,4921.46,5069.10,4643.30,136066.30
10/31/2022,4361.97,4907.22,5054.44,4629.87,135672.30
10/28/2022,4369.86,4916.09,5063.57,4638.23,135917.80
10/27/2022,4402.05,4952.31,5100.88,4672.41,136919.00
10/26/2022,4433.41,4987.59,5137.22,4705.69,137894.40
10/25/2022,4413.46,4965.14,5114.09,4684.51,137273.90
10/24/2022,4383.88,4931.87,5079.83,4653.12,136353.90
10/21/2022,4368.20,4914.23,5061.66,4636.48,135866.10
10/20/2022,4351.07,4894.95,5041.80,4618.29,135333.30
10/19/2022,4353.95,4898.19,5045.14,4621.35,135422.90
10/18/2022,4376.91,4924.02,5071.74,4645.71,136137.00
10/17/2022,4408.02,4959.02,5107.79,4678.74,137104.70
10/14/2022,4367.44,4913.37,5060.77,4635.67,135842.50
10/13/2022,4363.60,4909.05,5056.32,4631.59,135723.10
10/12/2022,4421.22,4973.87,5123.09,4692.75,137515.40
10/11/2022,4406.81,4957.66,5106.39,4677.45,137067.20
10/10/2022,4437.78,4992.50,5142.28,4710.33,138030.40
10/7/2022,4489.56,5050.76,5202.28,4765.29,139640.90
10/6/2022,4513.12,5077.26,5229.58,4790.30,140373.70
10/5/2022,4456.62,5013.70,5164.11,4730.32,138616.30
10/4/2022,4494.22,5056.00,5207.68,4770.23,139786.00
10/3/2022,4392.24,4941.27,5089.51,4661.99,136613.80
9/30/2022,4372.47,4919.03,5066.60,4641.01,135999.00
9/29/2022,4355.07,4899.45,5046.43,4622.53,135457.80
9/28/2022,4352.71,4896.80,5043.70,4620.03,135384.40
9/27/2022,4286.41,4822.21,4966.88,4549.66,133322.10
9/26/2022,4312.25,4851.28,4996.82,4577.09,134126.10
9/23/2022,4279.23,4814.13,4958.55,4542.03,133098.80
9/22/2022,4346.19,4889.46,5036.14,4613.10,135181.60
9/21/2022,4298.90,4836.26,4981.35,4562.92,133710.70
9/20/2022,4267.19,4800.59,4944.61,4529.26,132724.30
9/19/2022,4269.67,4803.38,4947.48,4531.89,132801.60
9/16/2022,4268.00,4801.50,4945.55,4530.12,132749.60
9/15/2022,4328.11,4869.12,5015.19,4593.91,134619.20
9/14/2022,4352.27,4896.30,5043.19,4619.56,135370.60
9/13/2022,4338.59,4880.91,5027.34,4605.04,134945.30
9/12/2022,4414.38,4966.18,5115.17,4685.50,137302.70
9/9/2022,4384.24,4932.27,5080.24,4653.50,136365.20
9/8/2022,4381.23,4928.88,5076.75,4650.30,136271.50
9/7/2022,4373.98,4920.73,5068.35,4642.61,136046.00
9/6/2022,4370.36,4916.66,5064.16,4638.77,135933.50
9/5/2022,4392.42,4941.47,5089.71,4662.17,136619.40
9/2/2022,4393.92,4943.16,5091.45,4663.77,136666.10
9/1/2022,4333.87,4875.60,5021.87,4600.03,134798.50
8/31/2022,4383.50,4931.44,5079.38,4652.71,136342.20
8/30/2022,4420.29,4972.83,5122.01,4691.76,137486.40
8/29/2022,4502.00,5064.75,5216.69,4778.49,140027.80
8/26/2022,4496.93,5059.05,5210.82,4773.11,139870.20
8/25/2022,4503.72,5066.69,5218.69,4780.32,140081.30
8/24/2022,4479.67,5039.63,5190.82,4754.79,139333.40
8/23/2022,4484.86,5045.47,5196.83,4760.30,139494.80
8/22/2022,4450.64,5006.97,5157.18,4723.98,138430.30
8/19/2022,4490.76,5052.11,5203.67,4766.56,139678.20
8/18/2022,4522.62,5087.95,5240.59,4800.38,140669.10
8/17/2022,4513.95,5078.19,5230.54,4791.17,140399.60
8/16/2022,4545.48,5113.67,5267.08,4824.65,141380.10
8/15/2022,4549.96,5118.71,5272.27,4829.40,141519.50
8/12/2022,4589.65,5163.36,5318.26,4871.53,142754.20
8/11/2022,4599.38,5174.30,5329.53,4881.85,143056.70
8/10/2022,4589.13,5162.77,5317.65,4870.97,142737.90
8/9/2022,4596.93,5171.55,5326.70,4879.26,142980.40
8/8/2022,4568.25,5139.28,5293.46,4848.81,142088.40
8/5/2022,4519.64,5084.60,5237.14,4797.22,140576.60
8/4/2022,4556.26,5125.79,5279.56,4836.08,141715.40
8/3/2022,4482.44,5042.75,5194.03,4757.73,139419.50
8/2/2022,4504.38,5067.43,5219.45,4781.02,140101.90
8/1/2022,4503.16,5066.06,5218.04,4779.72,140063.90
7/29/2022,4468.20,5026.73,5177.53,4742.62,138976.70
7/28/2022,4496.29,5058.33,5210.08,4772.43,139850.40
7/27/2022,4403.27,4953.68,5102.29,4673.70,136956.90
7/26/2022,4412.04,4963.55,5112.46,4683.01,137229.90
7/25/2022,4406.33,4957.12,5105.83,4676.94,137052.20
7/22/2022,4459.86,5017.34,5167.86,4733.76,138717.20
7/21/2022,4382.26,4930.04,5077.94,4651.39,136303.60
7/20/2022,4395.73,4945.20,5093.56,4665.70,136722.60
7/19/2022,4403.38,4953.80,5102.41,4673.81,136960.50
7/18/2022,4420.26,4972.79,5121.97,4691.72,137485.30
7/15/2022,4381.67,4929.38,5077.26,4650.77,136285.10
7/14/2022,4367.64,4913.60,5061.01,4635.89,135848.80
7/13/2022,4415.67,4967.63,5116.66,4686.86,137342.80
7/12/2022,4429.07,4982.70,5132.18,4701.08,137759.40
7/11/2022,4443.71,4999.17,5149.15,4716.62,138214.70
7/8/2022,4429.26,4982.92,5132.41,4701.29,137765.40
7/7/2022,4449.54,5005.73,5155.90,4722.80,138396.10
7/6/2022,4472.97,5032.09,5183.05,4747.67,139124.80
7/5/2022,4521.30,5086.46,5239.05,4798.97,140628.10
7/4/2022,4589.83,5163.56,5318.47,4871.72,142759.60
7/1/2022,4567.16,5138.06,5292.20,4847.66,142054.70
6/30/2022,4613.41,5190.09,5345.79,4896.74,143493.00
6/29/2022,4614.69,5191.53,5347.28,4898.11,143533.00
6/28/2022,4607.87,5183.85,5339.37,4890.86,143320.70
6/27/2022,4600.47,5175.53,5330.80,4883.01,143090.60
6/24/2022,4597.89,5172.63,5327.81,4880.27,143010.30
6/23/2022,4638.14,5217.91,5374.45,4923.00,144262.20
6/22/2022,4641.27,5221.43,5378.07,4926.31,144359.60
6/21/2022,4619.63,5197.08,5352.99,4903.34,143686.70
6/20/2022,4604.32,5179.86,5335.26,4887.10,143210.30
6/17/2022,4622.38,5200.18,5356.19,4906.27,143772.10
6/16/2022,4584.97,5158.09,5312.83,4866.55,142608.60
6/15/2022,4577.63,5149.83,5304.32,4858.76,142380.20
6/14/2022,4560.22,5130.25,5284.16,4840.29,141838.80
6/13/2022,4594.05,5168.31,5323.36,4876.20,142891.00
6/10/2022,4579.86,5152.34,5306.91,4861.13,142449.50
6/9/2022,4612.20,5188.73,5344.39,4895.46,143455.50
6/8/2022,4631.11,5210.00,5366.30,4915.53,144043.70
6/7/2022,4621.40,5199.08,5355.05,4905.23,143741.70
6/6/2022,4610.58,5186.90,5342.51,4893.74,143405.10
6/3/2022,4604.69,5180.28,5335.69,4887.49,143221.90
6/2/2022,4603.65,5179.11,5334.48,4886.38,143189.60
6/1/2022,4598.91,5173.77,5328.98,4881.35,143042.00
5/31/2022,4589.51,5163.20,5318.10,4871.38,142749.80
5/30/2022,4624.48,5202.54,5358.62,4908.50,143837.50
5/27/2022,4618.49,5195.80,5351.67,4902.13,143651.10
5/26/2022,4609.93,5186.17,5341.76,4893.05,143384.90
5/25/2022,4604.49,5180.05,5335.45,4887.27,143215.70
5/24/2022,4657.47,5239.65,5396.84,4943.51,144863.60
5/23/2022,4626.70,5205.04,5361.19,4910.85,143906.50
5/20/2022,4572.97,5144.59,5298.93,4853.82,142235.30
5/19/2022,4608.34,5184.38,5339.91,4891.36,143335.30
5/18/2022,4516.30,5080.84,5233.27,4793.68,140472.50
