Date,SilverPrice_Gm,ConsumerPrice_gst,AfterImportDuty,SilverPrice_Oz
1/31/1968,5.29,6.13,5.95,$1.99
12/31/1967,5.48,6.36,6.17,$2.06
11/30/1967,5.19,6.02,5.84,$1.95
10/31/1967,4.76,5.52,5.36,$1.79
9/30/1967,4.47,5.18,5.03,$1.68
8/31/1967,4.66,5.40,5.24,$1.75
7/31/1967,4.23,4.90,4.76,$1.59
6/30/1967,3.46,4.01,3.89,$1.30
5/31/1967,3.46,4.01,3.89,$1.30
4/30/1967,3.43,3.98,3.86,$1.29
3/31/1967,3.43,3.98,3.86,$1.29
2/28/1967,3.43,3.98,3.86,$1.29
1/31/1967,3.43,3.98,3.86,$1.29
12/31/1966,3.43,3.98,3.86,$1.29
11/30/1966,3.43,3.98,3.86,$1.29
10/31/1966,3.43,3.98,3.86,$1.29
9/30/1966,3.43,3.98,3.86,$1.29
8/31/1966,3.43,3.98,3.86,$1.29
7/31/1966,3.43,3.98,3.86,$1.29
6/30/1966,3.43,3.98,3.86,$1.29
5/31/1966,3.43,3.98,3.86,$1.29
4/30/1966,3.43,3.98,3.86,$1.29
3/31/1966,3.43,3.98,3.86,$1.29
2/28/1966,3.43,3.98,3.86,$1.29
1/31/1966,3.43,3.98,3.86,$1.29
12/31/1965,3.43,3.98,3.86,$1.29
11/30/1965,3.43,3.98,3.86,$1.29
10/31/1965,3.43,3.98,3.86,$1.29
9/30/1965,3.43,3.98,3.86,$1.29
8/31/1965,3.43,3.98,3.86,$1.29
7/31/1965,3.43,3.98,3.86,$1.29
6/30/1965,3.43,3.98,3.86,$1.29
5/31/1965,3.43,3.98,3.86,$1.29
4/30/1965,3.43,3.98,3.86,$1.29
3/31/1965,3.43,3.98,3.86,$1.29
2/28/1965,3.43,3.98,3.86,$1.29
1/31/1965,3.43,3.98,3.86,$1.29
12/31/1964,3.43,3.98,3.86,$1.29
11/30/1964,3.43,3.98,3.86,$1.29
10/31/1964,3.43,3.98,3.86,$1.29
9/30/1964,3.43,3.98,3.86,$1.29
8/31/1964,3.43,3.98,3.86,$1.29
7/31/1964,3.43,3.98,3.86,$1.29
6/30/1964,3.43,3.98,3.86,$1.29
5/31/1964,3.43,3.98,3.86,$1.29
4/30/1964,3.43,3.98,3.86,$1.29
3/31/1964,3.43,3.98,3.86,$1.29
2/29/1964,3.43,3.98,3.86,$1.29
1/31/1964,3.43,3.98,3.86,$1.29
12/31/1963,3.43,3.98,3.86,$1.29
11/30/1963,3.43,3.98,3.86,$1.29
10/31/1963,3.43,3.98,3.86,$1.29
9/30/1963,3.43,3.98,3.86,$1.29
8/31/1963,3.43,3.98,3.86,$1.29
7/31/1963,3.43,3.98,3.86,$1.29
6/30/1963,3.41,3.96,3.84,$1.28
5/31/1963,3.41,3.96,3.84,$1.28
4/30/1963,3.38,3.91,3.80,$1.27
3/31/1963,3.38,3.91,3.80,$1.27
2/28/1963,3.35,3.88,3.77,$1.26
1/31/1963,3.30,3.82,3.71,$1.24
12/31/1962,3.19,3.70,3.59,$1.20
11/30/1962,3.17,3.68,3.57,$1.19
10/31/1962,3.22,3.73,3.62,$1.21
9/30/1962,3.09,3.58,3.48,$1.16
8/31/1962,2.87,3.33,3.23,$1.08
7/31/1962,2.77,3.21,3.12,$1.04
6/30/1962,2.71,3.14,3.05,$1.02
5/31/1962,2.71,3.14,3.05,$1.02
4/30/1962,2.71,3.14,3.05,$1.02
3/31/1962,2.71,3.14,3.05,$1.02
2/28/1962,2.74,3.17,3.08,$1.03
1/31/1962,2.77,3.21,3.12,$1.04
12/31/1961,2.74,3.17,3.08,$1.03
11/30/1961,2.45,2.84,2.76,$0.92
10/31/1961,2.42,2.80,2.72,$0.91
9/30/1961,2.42,2.80,2.72,$0.91
8/31/1961,2.42,2.80,2.72,$0.91
7/31/1961,2.42,2.80,2.72,$0.91
6/30/1961,2.42,2.80,2.72,$0.91
5/31/1961,2.42,2.80,2.72,$0.91
4/30/1961,2.42,2.80,2.72,$0.91
3/31/1961,2.42,2.80,2.72,$0.91
2/28/1961,2.42,2.80,2.72,$0.91
1/31/1961,2.42,2.80,2.72,$0.91
12/31/1960,2.42,2.80,2.72,$0.91
11/30/1960,2.42,2.80,2.72,$0.91
10/31/1960,2.42,2.80,2.72,$0.91
9/30/1960,2.42,2.80,2.72,$0.91
8/31/1960,2.42,2.80,2.72,$0.91
7/31/1960,2.42,2.80,2.72,$0.91
6/30/1960,2.42,2.80,2.72,$0.91
5/31/1960,2.42,2.80,2.72,$0.91
4/30/1960,2.42,2.80,2.72,$0.91
3/31/1960,2.42,2.80,2.72,$0.91
2/29/1960,2.42,2.80,2.72,$0.91
1/31/1960,2.42,2.80,2.72,$0.91
